filename,timestamp,ch1_min_voltage,ch2_min_voltage
SaveOnEvent_ALL_20260907003215765.csv,2026-09-07 00:32:15,-0.0071,-0.0067
SaveOnEvent_ALL_20260907003259753.csv,2026-09-07 00:32:59,-0.0055,-0.0085
SaveOnEvent_ALL_20260907003946360.csv,2026-09-07 00:39:46,-0.0071,-0.0079
SaveOnEvent_ALL_20260907010235657.csv,2026-09-07 01:02:35,-0.0115,-0.0047
SaveOnEvent_ALL_20260907013332538.csv,2026-09-07 01:33:32,-0.0067,-0.0041
SaveOnEvent_ALL_20260907014608003.csv,2026-09-07 01:46:08,-0.0055,-0.0055
SaveOnEvent_ALL_20260907015515272.csv,2026-09-07 01:55:15,-0.0197,-0.0065
SaveOnEvent_ALL_20260907020344934.csv,2026-09-07 02:03:44,-0.0069,-0.0079
SaveOnEvent_ALL_20260907020539561.csv,2026-09-07 02:05:39,-0.0227,-0.0043
SaveOnEvent_ALL_20260907021219673.csv,2026-09-07 02:12:19,-0.0015,-0.0015
SaveOnEvent_ALL_20260907021339766.csv,2026-09-07 02:13:39,-0.0061,-0.0087
SaveOnEvent_ALL_20260907022015786.csv,2026-09-07 02:20:15,-0.0057,-0.0053
SaveOnEvent_ALL_20260907025430353.csv,2026-09-07 02:54:30,-0.0053,-0.0267
SaveOnEvent_ALL_20260907025931049.csv,2026-09-07 02:59:31,-0.0087,-0.0043
SaveOnEvent_ALL_20260907031513856.csv,2026-09-07 03:15:13,-0.0203,-0.0021
SaveOnEvent_ALL_20260907031548019.csv,2026-09-07 03:15:48,-0.0041,-0.0051
SaveOnEvent_ALL_20260907032050164.csv,2026-09-07 03:20:50,-0.0063,-0.0023
SaveOnEvent_ALL_20260907032423640.csv,2026-09-07 03:24:23,-0.0031,-0.0073
SaveOnEvent_ALL_20260907032849003.csv,2026-09-07 03:28:49,-0.0061,-0.0075
SaveOnEvent_ALL_20260907033411172.csv,2026-09-07 03:34:11,-0.0051,-0.0031
SaveOnEvent_ALL_20260907033904429.csv,2026-09-07 03:39:04,-0.0079,-0.0079
SaveOnEvent_ALL_20260907034411442.csv,2026-09-07 03:44:11,-0.0065,-0.0085
SaveOnEvent_ALL_20260907035616618.csv,2026-09-07 03:56:16,-0.0055,-0.0077
SaveOnEvent_ALL_20260907040854714.csv,2026-09-07 04:08:54,-0.0083,-0.0099
SaveOnEvent_ALL_20260907042427742.csv,2026-09-07 04:24:27,-0.0037,-0.0019
SaveOnEvent_ALL_20260907043449527.csv,2026-09-07 04:34:49,-0.0069,-0.0071
SaveOnEvent_ALL_20260907043819912.csv,2026-09-07 04:38:19,-0.0083,-0.0063
SaveOnEvent_ALL_20260907044856308.csv,2026-09-07 04:48:56,-0.0067,-0.0091
SaveOnEvent_ALL_20260907045857104.csv,2026-09-07 04:58:57,-0.0019,-0.0023
SaveOnEvent_ALL_20260907050040562.csv,2026-09-07 05:00:40,-0.0089,-0.0071
SaveOnEvent_ALL_20260907050726061.csv,2026-09-07 05:07:26,-0.0021,-0.0111
SaveOnEvent_ALL_20260907051240598.csv,2026-09-07 05:12:40,-0.0043,-0.0099
SaveOnEvent_ALL_20260907052401442.csv,2026-09-07 05:24:01,-0.0049,-0.0073
SaveOnEvent_ALL_20260907053630861.csv,2026-09-07 05:36:30,-0.0017,-0.0023
SaveOnEvent_ALL_20260907054710867.csv,2026-09-07 05:47:10,-0.0099,-0.0105
SaveOnEvent_ALL_20260907055814549.csv,2026-09-07 05:58:14,-0.0067,-0.0065
SaveOnEvent_ALL_20260907055853927.csv,2026-09-07 05:58:53,-0.0101,-0.0015
SaveOnEvent_ALL_20260907061532401.csv,2026-09-07 06:15:32,-0.0097,-0.0063
SaveOnEvent_ALL_20260907061623418.csv,2026-09-07 06:16:23,-0.0055,-0.0039
SaveOnEvent_ALL_20260907063628388.csv,2026-09-07 06:36:28,-0.0039,-0.0043
SaveOnEvent_ALL_20260907064215506.csv,2026-09-07 06:42:15,-0.0095,-0.0049
SaveOnEvent_ALL_20260907064221587.csv,2026-09-07 06:42:21,-0.0045,-0.0091
SaveOnEvent_ALL_20260907064443498.csv,2026-09-07 06:44:43,-0.0055,-0.0123
SaveOnEvent_ALL_20260907064711339.csv,2026-09-07 06:47:11,-0.0071,-0.0019
SaveOnEvent_ALL_20260907065716894.csv,2026-09-07 06:57:16,-0.0153,-0.0059
SaveOnEvent_ALL_20260907065834935.csv,2026-09-07 06:58:34,-0.0225,-0.0057
SaveOnEvent_ALL_20260907070529305.csv,2026-09-07 07:05:29,-0.0041,-0.0059
SaveOnEvent_ALL_20260907073453288.csv,2026-09-07 07:34:53,-0.0041,-0.0073
SaveOnEvent_ALL_20260907075121887.csv,2026-09-07 07:51:21,-0.0121,-0.0055
SaveOnEvent_ALL_20260907082654098.csv,2026-09-07 08:26:54,-0.0063,-0.0083
SaveOnEvent_ALL_20260907083003567.csv,2026-09-07 08:30:03,-0.0067,-0.0075
SaveOnEvent_ALL_20260907091006902.csv,2026-09-07 09:10:06,-0.0093,-0.0197
SaveOnEvent_ALL_20260907091223164.csv,2026-09-07 09:12:23,-0.0069,-0.0067
SaveOnEvent_ALL_20260907091400949.csv,2026-09-07 09:14:00,-0.0017,-0.0065
SaveOnEvent_ALL_20260907091714049.csv,2026-09-07 09:17:14,-0.0079,-0.0073
SaveOnEvent_ALL_20260907092714058.csv,2026-09-07 09:27:14,-0.0033,-0.0053
SaveOnEvent_ALL_20260907093115923.csv,2026-09-07 09:31:15,-0.0063,-0.0073
SaveOnEvent_ALL_20260907093436377.csv,2026-09-07 09:34:36,-0.0043,-0.0055
SaveOnEvent_ALL_20260907093841995.csv,2026-09-07 09:38:41,-0.0059,-0.0053
SaveOnEvent_ALL_20260907093947888.csv,2026-09-07 09:39:47,-0.0101,-0.0065
SaveOnEvent_ALL_20260907094233049.csv,2026-09-07 09:42:33,-0.0059,-0.0111
SaveOnEvent_ALL_20260907094234189.csv,2026-09-07 09:42:34,-0.0029,-0.0241
SaveOnEvent_ALL_20260907094440040.csv,2026-09-07 09:44:40,-0.0409,-0.0115
SaveOnEvent_ALL_20260907095118227.csv,2026-09-07 09:51:18,-0.0069,-0.0081
SaveOnEvent_ALL_20260907095138707.csv,2026-09-07 09:51:38,-0.0071,-0.0071
SaveOnEvent_ALL_20260907102629918.csv,2026-09-07 10:26:29,-0.0033,-0.0065
SaveOnEvent_ALL_20260907103517564.csv,2026-09-07 10:35:17,-inf,-inf
SaveOnEvent_ALL_20260907103917121.csv,2026-09-07 10:39:17,-0.0053,-0.0081
SaveOnEvent_ALL_20260907104853045.csv,2026-09-07 10:48:53,-0.0041,-0.0025
SaveOnEvent_ALL_20260907105842961.csv,2026-09-07 10:58:42,-0.0053,-0.0063
SaveOnEvent_ALL_20260907111933942.csv,2026-09-07 11:19:33,-0.0085,-0.0025
SaveOnEvent_ALL_20260907112557976.csv,2026-09-07 11:25:57,-0.0065,-0.0055
SaveOnEvent_ALL_20260907112851808.csv,2026-09-07 11:28:51,-0.0075,-0.0073
SaveOnEvent_ALL_20260907114419047.csv,2026-09-07 11:44:19,-0.0023,-0.0085
SaveOnEvent_ALL_20260907115238855.csv,2026-09-07 11:52:38,-0.0113,-0.0065
SaveOnEvent_ALL_20260907115939558.csv,2026-09-07 11:59:39,-0.0025,-0.0031
SaveOnEvent_ALL_20260907120258361.csv,2026-09-07 12:02:58,-0.0093,-0.0021
SaveOnEvent_ALL_20260907120802561.csv,2026-09-07 12:08:02,-0.0231,-0.0073
SaveOnEvent_ALL_20260907120846581.csv,2026-09-07 12:08:46,-0.0017,-0.0083
SaveOnEvent_ALL_20260907122943957.csv,2026-09-07 12:29:43,-0.0063,-0.0095
SaveOnEvent_ALL_20260907123312538.csv,2026-09-07 12:33:12,-0.0055,-0.0081
SaveOnEvent_ALL_20260907123628761.csv,2026-09-07 12:36:28,-0.0139,-0.0109
SaveOnEvent_ALL_20260907124037473.csv,2026-09-07 12:40:37,-0.0101,-0.0057
SaveOnEvent_ALL_20260907124751655.csv,2026-09-07 12:47:51,-0.0049,-0.0065
SaveOnEvent_ALL_20260907130126725.csv,2026-09-07 13:01:26,-0.0085,-0.0047
SaveOnEvent_ALL_20260907130927703.csv,2026-09-07 13:09:27,-0.0019,-0.0111
SaveOnEvent_ALL_20260907131049300.csv,2026-09-07 13:10:49,-0.0017,-0.0127
SaveOnEvent_ALL_20260907134919509.csv,2026-09-07 13:49:19,-0.0019,-0.0031
SaveOnEvent_ALL_20260907140206726.csv,2026-09-07 14:02:06,-0.0071,-0.0081
SaveOnEvent_ALL_20260907140645272.csv,2026-09-07 14:06:45,-0.0065,-0.0093
SaveOnEvent_ALL_20260907141547660.csv,2026-09-07 14:15:47,-0.0019,-0.0055
SaveOnEvent_ALL_20260907143057421.csv,2026-09-07 14:30:57,-inf,-0.0049
SaveOnEvent_ALL_20260907144030358.csv,2026-09-07 14:40:30,-0.0079,-0.0103
SaveOnEvent_ALL_20260907144052575.csv,2026-09-07 14:40:52,-0.0071,-0.0049
SaveOnEvent_ALL_20260907144856313.csv,2026-09-07 14:48:56,-0.0033,-0.0185
SaveOnEvent_ALL_20260907150003680.csv,2026-09-07 15:00:03,-0.0101,-0.0021
SaveOnEvent_ALL_20260907150011116.csv,2026-09-07 15:00:11,-0.0029,-0.0045
SaveOnEvent_ALL_20260907150110252.csv,2026-09-07 15:01:10,-0.0069,-0.0101
SaveOnEvent_ALL_20260907150327128.csv,2026-09-07 15:03:27,-0.0047,-0.0059
SaveOnEvent_ALL_20260907150522808.csv,2026-09-07 15:05:22,-0.0217,-0.0051
SaveOnEvent_ALL_20260907152924318.csv,2026-09-07 15:29:24,-0.0035,-0.0067
SaveOnEvent_ALL_20260907152935185.csv,2026-09-07 15:29:35,-inf,-0.0051
SaveOnEvent_ALL_20260907153438165.csv,2026-09-07 15:34:38,-0.0081,-0.0051
SaveOnEvent_ALL_20260907154243479.csv,2026-09-07 15:42:43,-0.0129,-0.0107
SaveOnEvent_ALL_20260907154948466.csv,2026-09-07 15:49:48,-0.0059,-0.0087
SaveOnEvent_ALL_20260907155533242.csv,2026-09-07 15:55:33,-0.0079,-0.0041
SaveOnEvent_ALL_20260907160309401.csv,2026-09-07 16:03:09,-0.0179,-0.0085
SaveOnEvent_ALL_20260907162335962.csv,2026-09-07 16:23:35,-0.0071,-0.0021
SaveOnEvent_ALL_20260907163019443.csv,2026-09-07 16:30:19,-0.0055,-0.0079
SaveOnEvent_ALL_20260907164333389.csv,2026-09-07 16:43:33,-0.0021,-0.0023
